favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
61,Twitter for iPhone,Who's Chair Is That? @ImNotMoises,,False,Fri Aug 26 06:01:40 +0000 2011,133,106969539543183361
20,Twitter Web Client,@alyciatirado dont worry He's chilin,,False,Fri Mar 11 10:56:15 +0000 2011,32,46162512630132736
85,Twitter for iPad,Just Asked Jodie @jordynwoods and @JW00DZ little sister for a hug and got declined #pest,,False,Thu Mar 31 22:44:06 +0000 2011,207,53588407770812416
79,Twitter for iPhone,RIP Steve Jobs.........,,False,Wed Oct 05 23:48:00 +0000 2011,664,121733406013931520
104,Twitter for iPhone,Just Realized @ParisHilton Follows Me #StayRaw,,False,Tue Jun 21 22:48:39 +0000 2011,308,83305358625476609
125,Twitter Web Client,#ItWasTheBestNightEveerrr,,False,Sun Jun 19 20:30:38 +0000 2011,572,82545847178502144
217,Twitter Web Client,I love my fans #7bars,,False,Thu Mar 10 11:44:20 +0000 2011,1225,45812226430480384
101,Twitter for iPhone,Happy Bday @OfficialWillow And @OfficialMateo #HappyWilloween,,False,Mon Oct 31 07:01:01 +0000 2011,763,130902074576744448
170,Twitter for iPhone,#ThinkinBoutYou,,False,Sat Nov 19 11:43:26 +0000 2011,1088,137858516978376705
104,Twitter for iPhone,#ItsAllLies,,False,Thu Aug 25 04:56:00 +0000 2011,599,106590625369047040
104,Twitter for iPhone,"#GoodLookingOut“@miistersandman: Yo, @TLFI @TherealRyu check out @officialjaden rockin true love http://t.co/3J9zLie”",,False,Fri Jun 10 22:35:52 +0000 2011,238,79315873629868032
52,Twitter Web Client,Are You Beefing Or Joining Make Your Mind Up,,False,Thu Nov 17 03:41:32 +0000 2011,180,137012466218565632
86,Fanzy.com,"Congrats to the current all-time top Fans: @JSmithSwag_, @JodyJ_Jadenator & @SmileJadenSmith! http://t.co/72jTsjPN",,False,Wed Dec 21 17:47:24 +0000 2011,146,149546522734895105
24,Twitter for iPhone,“@Mandyjadensmith: Its 2:00 am and I'm still waiting for a tweet from @officialjaden” #TaylorGang,,False,Thu Oct 06 00:15:10 +0000 2011,48,121740243148881921
392,Twitter Web Client,Real... @Alfredoflores is the best ripper swagggg RT @JustinBieber: http://twitvid.com/BV9OK - im more aerodynamic when i #ripmysleeves,,False,Wed Mar 09 03:09:11 +0000 2011,1336,45320196063375363
46,Twitter for iPad,"“@wizardcud: @officialjaden this week, In and Out burger. How bout it willaaayy?” Let's Do It #CudLife",,False,Fri Sep 16 21:44:30 +0000 2011,117,114816958070915072
80,Twitter Web Client,Bumping Watch The Throne #Posted,,False,Sun Aug 14 03:57:24 +0000 2011,251,102589611750068224
27,Twitter Web Client,@JW00DZ I love you bro follow me,,False,Thu Mar 10 07:23:44 +0000 2011,47,45746645245243392
223,Twitter Web Client,Thank you Manchester for the awesome show! Love my fans #Real,,False,Tue Mar 22 01:18:17 +0000 2011,745,50003331363504128
55,Twitter for iPhone,“@iMindlessJaden: @officialjaden you can't spell.” #TellMeSomethingIDontKnow lol,,False,Thu Oct 06 00:00:22 +0000 2011,137,121736520855072768
97,Twitter Web Client,Whenever You Have a Really Good Night Most Likely You'll Have A Really Bad Day.. #TrueStory #DeepTweet #LateTweet,,False,Fri May 13 06:14:16 +0000 2011,528,68921984460914688
68,Twitter Web Client,http://t.co/VKeUOKur,,False,Mon Sep 26 05:55:23 +0000 2011,126,118201983101448193
12,TweetDeck,"@FervaldespinoR That's our plan, but they might come later in the day.",FervaldespinoR,False,Wed Jan 31 19:29:39 +0000 2018,0,958784360559333377
280,Instagram,AhhfhzgjjJadnztdfjhsshsvnsgshnsxsj I Just Had A Heart Attack   http://t.co/mWDx5deJ,,False,Fri Dec 09 17:27:10 +0000 2011,758,145192779759366146
153,WhoSay,#RealGs http://t.co/3EBCDi7b,,False,Mon Jan 09 20:10:14 +0000 2012,342,156467839375646720
74,Twitter Web Client,Is It Me Or Is It Always The Same...,,False,Mon Sep 26 22:56:01 +0000 2011,298,118458831767474176
46,Twitter for iPad,“@JasperDolphin: @officialjaden Yeah You Called Me Earl Lol.” Ohhh............#MyBad,,False,Thu Sep 08 19:22:49 +0000 2011,86,111882196914159616
166,Twitter for iPhone,Watching Hangover2 For The Second Time So Isn't Hangover4 #Deep,,False,Tue May 31 00:07:37 +0000 2011,562,75352697695502336
184,Twitter for iPhone,“@JoJoSwagg143: http://t.co/F2v5TBbS omg...look at @officialjaden rap! Its soo dope” Wow That Was Like 1000 Years Ago Listen To My Voice,,False,Wed Nov 30 07:52:52 +0000 2011,276,141786761209708544
92,Twitter Web Client,birthday hack...happy birthday diggy - @Mr__UnCool & @SirUnCool ;),,False,Fri Jul 08 09:10:20 +0000 2011,359,89260013390004225
31,Twitter Web Client,follow him @vincentbond12,,False,Wed Sep 28 22:26:24 +0000 2011,69,119176155013185536
166,Instagram,This Will Be Fun  http://t.co/yCdMqYk6,,False,Sun Jan 08 23:13:42 +0000 2012,279,156151622173597696
56,Twitter for Websites,swaginacan - Tinychat http://t.co/IiWZNMr via @tinychat,,False,Thu Mar 31 02:28:18 +0000 2011,107,53282442357903360
31,Twitter Web Client,Thank you @NekiaLovesYou,afroshawdy,False,Mon Mar 14 12:12:14 +0000 2011,59,47268799627538432
97,Twitter Web Client,"""@julieeewu I can NEVER get off a Bieber blog.. well I can, but it takes me foreverr"" Hey............#NeverSayForever........#Jk",julieeewu,False,Sat Aug 06 03:35:05 +0000 2011,275,99684894795497472
228,TweetDeck,"Hey, Sacramento: We just added a performance of ALL HAIL in your city on April 23rd. Tickets go on sale this Friday… https://t.co/b7QerNQevJ",,False,Wed Jan 31 18:00:04 +0000 2018,26,958761814967296000
148,Twitter for iPhone,"A Tic Tac Ticks The Tac Out Of A
 Tac Tic... #Real",,False,Tue May 24 06:15:51 +0000 2011,468,72908648413798400
37,Twitter for iPhone,Hey @LineEliseSH Stop Spamming Me I Just Followed You...,swaggylikeus,False,Sun Oct 30 18:01:35 +0000 2011,116,130705926742224896
35,Twitter for iPhone,Is It @yealkanters Birthday To Day #ThatsSoRaw,,False,Wed Jun 22 00:43:28 +0000 2011,148,83334250430078976
164,Twitter for iPhone,I No Longer Drink Normal Water #BoxedWaterIsBetter,,False,Tue Sep 06 22:07:33 +0000 2011,369,111198877897605122
66,Twitter for iPhone,Pull Ups Have Become An Addiction,,False,Mon Oct 17 00:26:58 +0000 2011,188,125729479896215552
70,Twitter Web Client,"""@scooterbraun some of my students - http://t.co/iD0HvJO7"" @Scooterbraun Is The Funniest Person In The World #BesidesMe",scooterbraun,False,Thu Oct 06 06:25:55 +0000 2011,191,121833543751049216
53,Twitter for iPad,“@kristinbabbby: i wonder if @officialjaden will ever follow me.” Same,,False,Thu Sep 08 07:22:29 +0000 2011,145,111700921200820224
45,Twitter Web Client,@ImNotMoises What The #TipSipNipTit Is Going On In Your Mind Right Now,ImNotMoises,False,Mon May 02 08:18:47 +0000 2011,106,64967052691111936
42,Twitter Web Client,Trend that,,False,Sat Mar 12 12:04:42 +0000 2011,140,46542128897208320
57,Twitter Web Client,"""OMG She's PERSONALLY following the next 100 that follow her ▬► @CraveMyThoughts"" Why Did I Just Reply To That?",,False,Fri Aug 19 21:18:09 +0000 2011,155,104663467511914496
124,Twitter Web Client,http://www.youtube.com/watch?v=CEmNqK2CvYE,,False,Sat Apr 02 02:01:02 +0000 2011,255,54000355561836544
1841,TweetDeck,We're moving the show over to a new hosting platform. Let us know if you hear anything weirder than usual in the au… https://t.co/oqeewICtcS,,False,Wed Jan 31 15:02:45 +0000 2018,87,958717193528709120
247,Camera on iOS,Yess The Docs Still Alive #BackToTheFuture http://t.co/PqDO29sk,,False,Sun Dec 25 15:44:15 +0000 2011,273,150965080190754817
139,Twitter for iPhone,That's My Piano Sike.......Lol #NoReally  http://t.co/Sd2Nfjx,,False,Wed Jun 29 23:08:00 +0000 2011,339,86209327567867905
27,Twitter Web Client,@TijanaSelakk your amazing,TijanaSelakk,False,Fri Mar 11 11:34:32 +0000 2011,51,46172149630767105
191,Twitter for iPhone,Dear People Who Don't Know What A #G Is Ask A Jadenator #DeyKnowDeyKnowDeyKnow #RealGs,,False,Fri Dec 09 17:32:18 +0000 2011,630,145194071546281984
96,Twitter for iPhone,At The Dentist Say Wassup If You See Me #ImRaw,,False,Thu May 19 23:04:40 +0000 2011,294,71350587307991040
79,Twitter for iPhone,Hey @Jpnugglife #Monopoly..........................Oh And Happy Birthday #wfjyrjduvfekobgsuhki,,False,Fri Dec 30 01:17:45 +0000 2011,156,152558960203935744
37,Twitter for iPhone,Chillin Wit My Hommie @lexiisham He Needs Alot More Followers So Basically #FollowHimIfYouHaveSwag,,False,Mon Oct 10 02:55:25 +0000 2011,92,123230122147975169
82,Twitter for iPad,Bout To Go To The Gym And Get #IAmLegendStatus,,False,Wed Sep 14 02:17:03 +0000 2011,228,113798382623014912
75,Twitter Web Client,SRRY GUYS MY PHONE ISNT WORKING,,False,Sat Mar 12 13:48:04 +0000 2011,257,46568138472562688
37,Twitter Web Client,every body follow @Michael_Vargas,,False,Thu Mar 10 10:39:01 +0000 2011,112,45795786851745794
54,Twitter for iPhone,Dear Kids Who Go To Next To Me I'm Very Disappointed Right Now. Me And @ImNotMoises Are At Your School And There's No One Here #Pesst,,False,Mon Oct 17 22:17:45 +0000 2011,161,126059350367281152
20,Twitter Web Client,"@miistersandman yo, follow me",GravityChrist,False,Tue Mar 29 22:08:07 +0000 2011,46,52854574205243393
57,Twitter Web Client,Delilah,,False,Thu Nov 17 04:03:17 +0000 2011,177,137017942914244608
224,Twitter Web Client,1,,False,Tue Jan 17 07:10:20 +0000 2012,1012,159170673166651392
107,Twitter Web Client,Go Get It @diggy_simmons #DoItLikeYou,,False,Sat Dec 10 00:40:55 +0000 2011,521,145301935774380032
120,Twitter Web Client,HELLO SIS,,False,Sat Mar 12 13:55:24 +0000 2011,419,46569984146685952
104,Twitter for iPhone,Us Vs The World...,,False,Mon Oct 31 01:23:27 +0000 2011,503,130817122384359424
135,Twitter Web Client,The best guy in the world is @itsryanbutler,,False,Fri Oct 28 05:39:54 +0000 2011,863,129794498329980928
181,Twitter Web Client,That Moment When Im Just Gunna Say #CoolStoryBro To Everybody Even If It Doesn't Make Sense #IdontCareImSick,,False,Sun Jul 24 23:51:35 +0000 2011,728,95279992577064961
385,Twitter for iPhone,Take my hand,,False,Sat Jan 14 00:05:04 +0000 2012,1309,157976487922900992
77,Twitter for iPhone,One Day You Won't...,,False,Fri Nov 04 02:32:08 +0000 2011,319,132283960968486912
232,Twitter for iPad,When You Act Older Than You Are You Get Problems Older Then You Are,,False,Mon Oct 17 02:14:16 +0000 2011,1066,125756482640814080
80,Twitter for iPhone,#FalseAlarm Those Hats Are Main Stream And We're #Hipsters,,False,Tue Aug 23 02:38:49 +0000 2011,218,105831326506156033
88,Twitter for iPhone,#RealGs In The Buildin,,False,Sun Dec 11 04:11:20 +0000 2011,236,145717275037667328
67,Twitter Web Client,Yo Fun Time Tonight @RealLaurynM @RealChinaAnne And @MyNameIsSiSi You Need To Come Back Soon #EveryDayImShufflin,,False,Wed Oct 05 04:44:31 +0000 2011,110,121445640113885184
216,Twitter Web Client,4,,False,Tue Jan 17 07:10:10 +0000 2012,988,159170631395573762
93,Twitter for iPhone,I Just Wish You Were Grateful... ):,,False,Tue Nov 01 08:54:12 +0000 2011,507,131292946459918336
170,Twitter for iPhone,Snufalufagus,,False,Tue Nov 29 21:39:31 +0000 2011,461,141632406129090560
68,Twitter for iPhone,Yeah Were Back Full #7Bars On My Phone #Real,,False,Sun Sep 25 00:37:48 +0000 2011,206,117759671850377216
2963,Twitter for iPhone,"My Mom Said ""Jaden Get Up It's Time For School."" I Said "" #Realgs Don't Get Up They Get Down..",,False,Fri May 27 17:13:13 +0000 2011,10133,74161245120499712
55,Twitter for iPhone,“@kbev219: @officialjaden I'm ready to hear some more music from you” #Soon,,False,Tue Nov 29 23:05:49 +0000 2011,165,141654123916439552
81,Twitter for iPhone,“@KylieJenner: At the mall with @Kruelove1018 and @officialjaden !!!” Yeah Were All In The Mall #IThink #East,,False,Thu Jun 30 22:09:09 +0000 2011,202,86556905287327744
211,Twitter for iPhone,Hey Guys Guess What........Snufalufagus,,False,Wed Nov 30 04:09:04 +0000 2011,546,141730438367555584
88,Twitter for iPhone,Concentration Has Become An Issue,,False,Wed Oct 26 20:51:56 +0000 2011,439,129299243742666752
84,Twitter for iPhone,Skating #SayWhatsupIfYouSeeMe,,False,Sun Aug 14 02:02:41 +0000 2011,287,102560742947045378
171,Twitter Web Client,Just got to level 31with @AriasBros on Call of Duty: Zombies,,False,Sat Apr 02 06:53:58 +0000 2011,410,54074072363040768
156,Twitter Web Client,Lets play hide and go tiny chat...YAY,,False,Mon Mar 14 12:18:45 +0000 2011,568,47270439663321088
63,Twitter Web Client,"""@Quincy Just made the sexiest song everrrrrrrrrrrrrr"" #Same",Quincy,False,Thu Aug 18 03:44:59 +0000 2011,141,104036041740124161
312,Twitter Web Client,Aliens Are Real................#Btw,,False,Wed Aug 10 04:14:20 +0000 2011,1089,101144324569440256
70,Twitter Web Client,Monopoly,,False,Fri Sep 30 22:36:58 +0000 2011,210,119903589379473410
97,Twitter for iPhone,Ravens #east,,False,Wed Mar 09 19:16:33 +0000 2011,484,45563641851944960
65,Twitter Web Client,#idontthinkuready4thisJADEN,,False,Sat Mar 12 11:39:08 +0000 2011,270,46535692871933952
4862,TweetDeck,"Do what you can*, with what you have**, where you are***.

* giggle
** ticklish skin
*** snake pit",,False,Thu Jan 18 19:15:02 +0000 2018,1482,954069639377702912
158,Twitter Web Client,Skating Again Hope I Don't Fall #IWill,,False,Fri Jun 03 04:22:25 +0000 2011,520,76503984294199297
49,Twitter for iPhone,Already..... #Dang,,False,Mon Sep 26 23:36:57 +0000 2011,157,118469137096904704
397,Twitter Web Client,"Guess whos back, back again jadens back tell your friends",,False,Sun Mar 13 03:55:52 +0000 2011,1598,46781497327362049
255,Twitter for iPhone,Hope You Like It,,False,Sun Jan 01 07:19:34 +0000 2012,817,153374791598997504
135,Instagram,Does It Look Like I Care  http://t.co/Pddp0jut,,False,Fri Dec 09 01:37:35 +0000 2011,183,144953807300853762
63,Twitter Web Client,Srry Bout My Last Tweet Got Hacked #EAST,,False,Mon May 30 19:11:36 +0000 2011,173,75278201844269057
86,Instagram,Biggest Pig In The World  http://t.co/qiLkGtLp,,False,Thu Oct 20 20:17:05 +0000 2011,222,127116147060523008
77,Twitter Web Client,"""@AllyWick Would you like you if you met you?"" No",allisonjene_,False,Tue Jan 17 05:19:19 +0000 2012,129,159142734748336128
66,Twitter for iPhone,Trying To Watch Matrix Reloaded Befor This Photo Shoot #NotWorkingOut,,False,Thu Jun 23 18:01:57 +0000 2011,205,83957981816950784
109,Twitter Web Client,Just Watched 127 Hours in a Bowtie Cuz Im #REAL,,False,Tue Mar 29 21:54:28 +0000 2011,326,52851139862986752
96,Twitter Web Client,#CantDoAnythingCuzImSick #HashtagDay,,False,Thu Aug 04 18:23:50 +0000 2011,358,99183780731949056
485,Twitter Web Client,wow thanks for all of the followers you fans are awesome!,,False,Wed Mar 09 02:20:45 +0000 2011,2351,45308006342213632
89,Twitter Web Client,I Think I Have Strep Again,,False,Wed Aug 03 01:07:19 +0000 2011,229,98560544470073344
116,Twitter for iPhone,"Girl Is It Wrong To Be Scared, Cuz That's What They Say..",,False,Wed Nov 02 22:47:50 +0000 2011,425,131865124670668800
108,Twitter Web Client,"RealG''s Dont Dream.. Question Of The Night: Do Tics Tac Or Do Tacs Tic?
#BAK",,False,Mon May 23 07:33:20 +0000 2011,260,72565761511653376
172,Twitter Web Client,Im Just Saying You Could Do Better....#DrakeVoice,,False,Wed Jun 29 07:39:53 +0000 2011,1296,85975762498359297
136,Twitter for iPhone,Chilin In Hot Topic. Just Found The Jack Pot On Swag Hats #TooReal   http://t.co/EEc89qz,,False,Tue Aug 23 02:29:41 +0000 2011,241,105829028790927360
112,Twitter Web Client,#dreamscometrue,,False,Fri Mar 11 09:47:36 +0000 2011,577,46145236556197888
88,Twitter for iPhone,I Let No One In...........Anymore,,False,Sat Oct 01 09:35:36 +0000 2011,328,120069342724505600
54,Twitter for iPhone,Yup...... It's All Down Hill From Here..,,False,Tue Sep 27 00:59:24 +0000 2011,210,118489884678815744
37,Twitter for iPhone,“@BieberAid: Late night rap battles...my fav. Iove my friends. :]” Das What I'm Talkin Bout,,False,Sat Oct 08 04:36:01 +0000 2011,81,122530662241677312
97,Twitter for iPhone,Eating Waffles @ Ihop........ #WaitWhat,,False,Sat Sep 10 21:22:57 +0000 2011,270,112637208736964609
133,Twitter Web Client,That Awkward Moment When I Was Going To Follow @TheOfficialTrey But My Brother Doesn't Have A Twitter.....What's Going On #NotReal,,False,Fri Jul 01 06:24:17 +0000 2011,503,86681511130185729
204,Twitter for iPhone,“@SoFarMindless: @OfficialJaden Did You Get @MindlessBhavior's Cd #1Girl ?” Yeah I Was First In Line,,False,Thu Sep 22 00:39:49 +0000 2011,459,116673018503245824
25,Twitter for iPhone,“@xoJustineB: @officialjaden I AM SO JELLIN OVER EVERYONE YOU ARE RTING. WHY IS IT IMPOSSIBLE FOR YOU TO NOTICE ME??! :{}” #ItsNot,,False,Thu Oct 06 00:45:04 +0000 2011,54,121747769496051712
193,Twitter Web Client,I Miss My Brother,,False,Fri Aug 12 03:36:00 +0000 2011,651,101859452680024064
55,Twitter for iPhone,Bout To Go See Two Legends Do There Thing #TrueG's Wassup Miami,,False,Wed Nov 16 00:32:54 +0000 2011,183,136602608084336640
39,Twitter Web Client,Idk @juliaxxxxxxx Are You Crazy For Loving Me?,juliaxxxxxxx,False,Wed May 04 06:48:26 +0000 2011,84,65669093126176768
90,Twitter for iPhone,Yo @astronomicalkid Your A Beast Dawg I Love What Your Doing Me And You Need To Get Together Soon Stay Swag Hommie... #AstrosARealG #RealGs,,False,Thu Nov 03 01:16:58 +0000 2011,377,131902655181230080
55,Twitter for iPhone,http://t.co/dDfeQW7 @JillianSay,,False,Wed Jun 08 03:43:20 +0000 2011,106,78306085307551745
66,Twitter Web Client,http://t.co/c0eb5X4,,False,Thu Aug 18 04:02:51 +0000 2011,118,104040535500664832
111,Twitter for iPhone,Is It Wrong To Be Scared?,,False,Sun Oct 30 20:24:10 +0000 2011,617,130741805250646017
111,Twitter Web Client,#Realgs Dont Rock Sleeves,,False,Sat Apr 02 21:09:02 +0000 2011,385,54289257665282048
494,Twitter for iPhone,My New Bike #SoRawNoFlaw http://t.co/CQhpayo,,False,Fri Jun 17 06:25:11 +0000 2011,1173,81608306753417216
91,Twitter Web Client,Dang What Should I Tweet? #Idk,,False,Fri Aug 19 21:16:50 +0000 2011,386,104663133162971137
62,Twitter Web Client,http://tinychat.com/thatsnotfunnyy,,False,Sat May 28 05:39:54 +0000 2011,140,74349154897367040
113,Instagram,Beginning Of Creation  http://t.co/T3wnxtkQ,,False,Wed Oct 19 23:34:52 +0000 2011,239,126803530571984896
7852,TweetDeck,Make like a baby and vocalize your pain.,,False,Mon Jan 22 17:14:20 +0000 2018,3591,955488817649156096
25,Twitter Web Client,@briannapajamas  #dreamscometrue,_bonzeye,False,Fri Mar 11 08:52:55 +0000 2011,41,46131476928016385
49,Twitter for iPhone,In The Studio With My Hommie @Wizardcud Chilin Bout To Go Play Zombies,,False,Tue Sep 20 01:32:31 +0000 2011,129,115961504704118784
58,Twitter for iPhone,Posting I'm Primitive #TrynaPost,,False,Sat Aug 13 20:17:00 +0000 2011,153,102473750649380865
73,Twitter for iPhone,On A #FieldTrip #IWannaGoToSleep #IfYouSeeMeSayWassup,,False,Wed Aug 17 19:21:28 +0000 2011,210,103909327139643392
51,Twitter for iPhone,“@SOULKEEPERJADEN: @officialjaden  is reppin the #EAST #EAST #EAST #EAST” No Way... #CoolStory,,False,Sat Jul 02 11:45:00 +0000 2011,124,87124612416147457
71,Twitter Web Client,@AriasBros Yo guys follow me,ImNotMoises,False,Wed Mar 09 03:50:47 +0000 2011,259,45330665486548993
66,Twitter Web Client,Everybody Follow @TheReal_iTurf #DefinitelyNotHacked #SCHWAG,,False,Sun Jun 26 06:47:04 +0000 2011,173,84875306795675648
29,Twitter Web Client,Every body follow @TheReal_iTurf right now #7bars,,False,Fri Mar 11 03:39:48 +0000 2011,109,46052675724386304
42,Twitter Web Client,@ImNotMoises Is The Greatest... #Hacked,ImNotMoises,False,Thu Jun 16 19:37:22 +0000 2011,139,81445279043289090
45,Twitter Web Client,#jadensagoblin #realfromthestreets,,False,Sat Mar 12 12:40:17 +0000 2011,237,46551081626517504
27,Twitter Web Client,"""@JadenSmithhArmy the odds that i will win @officialjaden shoes and socks is like 1 in a million...yup never gonna happen."" #NeverSayNever",JadenSmithhArmy,False,Tue Oct 11 22:50:43 +0000 2011,72,123893316839411712
254,Twitter Web Client,Hey,,False,Fri Jan 13 20:33:54 +0000 2012,778,157923345734701056
80,Twitter for iPhone,Dear Kids Who Go To The School Next To Mine The Highlight Of My Day Is Screaming #TaylorGang At You Thank You Sincerely @OfficialJaden,,False,Wed Oct 12 22:23:30 +0000 2011,279,124248855796649984
76,Twitter for iPhone,#RealGs Get Burnt #RawNoLonger,,False,Sun Dec 11 04:38:00 +0000 2011,198,145723988012826625
276,Twitter for iPhone,It Doesn't Upset Me When Haters Hate It Upsets Me When Intelligent People Hate.,,False,Thu Dec 08 20:02:04 +0000 2011,969,144869373356675072
87,Twitter for iPhone,Wow! I Just Landed And #ThinBoutYou Is Still Trending! You Guys Are Soo Real #RealGsInTheBuildin,,False,Sat Nov 19 07:25:42 +0000 2011,358,137793656370380800
96,Twitter Web Client,"i love my cousin JADE sooooo much yoooo!!! ahha SWAGG, aint no better!",,False,Fri Mar 11 01:00:34 +0000 2011,378,46012606141566976
280,Camera on iOS,http://t.co/jJ5mZGT2,,False,Sat Dec 03 15:03:53 +0000 2011,549,142982391902896129
29,Twitter Web Client,@jordynwoods #OneOfMyFavoritePlaces.. Your House,jordynwoods,False,Fri May 27 00:17:32 +0000 2011,92,73905639608430592
217,Twitter Web Client,You Can Tell Me Anything,,False,Fri Dec 23 03:52:25 +0000 2011,646,150061170190057472
291,Twitter for iPad,Pray For Caitlin,,False,Sun Oct 16 20:33:02 +0000 2011,1982,125670608645267456
50,Twitter Web Client,@ImNotMoises Is A Beast,ImNotMoises,False,Sat Aug 20 06:48:50 +0000 2011,145,104807081453953024
